name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Autocaravana Perfilada,Lisboa,"4,5",3,65,4,4,B,sob pedido,autorizados,C.I. Ducato 2.3 JTD,2005,"3.400,0 kg",Diesel,50-75000 km,"80,0","900,00","Dinheiro, Transferência",não fumadora,2020
Campervan,Sacavém,"4,0",5,60,3,2,B,não autorizadas,sob pedido,ford ford,1981,"2.575,0 kg",Diesel,"100-150,000 km","50,0","600,00","Dinheiro, Transferência",sob pedido,2022
Furgão transformado,Palmela,"5,0",4,90,2,2,B,sob pedido,autorizados,Fiat Kyros 2 Crato,2017,"3.500,0 kg",Diesel,Desconhecido,"70,0","2 000,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2019
Autocaravana capucino,Almeirim,"5,0",1,100,4,4,B,não autorizadas,não autorizados,Challenger 133,2004,"3.400,0 kg",Diesel,75-100000 km,"80,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Leiria,"5,0",49,59,6,6,B,sob pedido,autorizados,P.L.A. 415,2015,"3.500,0 kg",Diesel,"100-150,000 km","100,0","1 250,00",Dinheiro,não fumadora,2019
Autocaravana capucino,Lisboa,"5,0",2,65,4,5,B,sob pedido,autorizados,"Dethleffs Ducato 2,3 l JTD 130 ch.",2003,"3.495,0 kg",Diesel,50-75000 km,"80,0","900,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana capucino,Guincho,"5,0",19,96,4,4,B,sob pedido,não autorizados,Knaus 600 Meg,2008,"3.500,0 kg",Diesel,"100-150,000 km","75,0","1 250,00","Cartão De Crédito, Transferência, Outros",não fumadora,2020
Autocaravana Perfilada,Fátima,"5,0",6,70,4,5,B,sob pedido,sob pedido,"Laika Transit 2,4 l TDCi 140 ch.",2009,"3.500,0 kg",Diesel,50-75000 km,"70,0","500,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Amadora,"5,0",5,70,5,6,B,sob pedido,autorizados,Challenger Ducato 2.8L 127 cv,2004,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 000,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Foz do Arelho,"5,0",4,79,2,2,B,sob pedido,sob pedido,Custom Transit MK5 Longa/Alta,1988,"3.500,0 kg",Diesel,Mais 250.000 km,"80,0","700,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Loures,"5,0",9,85,4,4,B,autorizada,autorizados,Fiat McLuis,2007,"3.300,0 kg",Diesel,"100-150,000 km","90,0","750,00","Dinheiro, Transferência, Outros",não fumadora,2020
Furgão transformado,Loures,"5,0",3,110,2,4,B,autorizada,autorizados,"Font Vendôme Ducato 2,3 l 120 ch.",2010,"3.500,0 kg",Diesel,150-200000 km,"80,0","750,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana Integral,Lisboa,"5,0",2,100,4,4,B,sob pedido,autorizados,Hymer,2011,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 500,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",1,100,4,4,B,sob pedido,autorizados,Hymer Campswing 594,2008,"3.500,0 kg",Diesel,50-75000 km,"70,0","1 500,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Costa da Caparica,"5,0",2,70,6,6,B,sob pedido,sob pedido,Fiat,2001,"3.500,0 kg",Diesel,"100-150,000 km","100,0","1 000,00","Transferência, Dinheiro",sob pedido,2022
Outro,Loures,"3,0",2,45,2,2,B,sob pedido,sob pedido,Renault,1998,"1.870,0 kg",Diesel,"200-250,000 km","45,0","500,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Integral,Nazaré,"5,0",4,110,4,4,B,sob pedido,autorizados,Hymer exis 588,2015,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 250,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Loures,"4,0",2,105,6,6,B,autorizada,autorizados,"Mclouis Al-Ko 2,3 l Multijet 130 ch.",2008,"3.500,0 kg",Diesel,75-100000 km,"80,0","750,00","Dinheiro, Transferência, Outros",não fumadora,2020
Autocaravana capucino,Lisboa,"4,5",11,85,6,5,B,autorizada,autorizados,Fiat CI International Carioca,2006,"3.500,0 kg",Diesel,"100-150,000 km","60,0","800,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",4,65,6,5,B,autorizada,autorizados,Hymer 554,1997,"3.200,0 kg",Diesel,"100-150,000 km","60,0","800,00","Dinheiro, Transferência",fumadora,2021
Autocaravana capucino,Sesimbra,"5,0",1,70,3,4,B,sob pedido,autorizados,Fiat,2000,"2.800,0 kg",Diesel,"100-150,000 km","70,0","500,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Ericeira,"5,0",2,55,4,4,B,sob pedido,autorizados,Dethleffs 2.5,1995,"3.200,0 kg",Diesel,"200-250,000 km","80,0","750,00","Dinheiro, Outros, Transferência",não fumadora,2023
Autocaravana Integral,Pombal,"5,0",5,75,4,4,B,sob pedido,autorizados,Hymer Fiat Weinsberg,2003,"3.500,0 kg",Diesel,150-200000 km,"100,0","750,00","Dinheiro, Transferência",não fumadora,2021
Furgão transformado,Amadora,"4,5",12,60,4,4,B,sob pedido,sob pedido,BIG DREAM,1995,"3.500,0 kg",Diesel,Mais 250.000 km,"60,0","600,00",Dinheiro,não fumadora,2019
Autocaravana Perfilada,Cascais,"5,0",7,150,5,5,B,autorizada,não autorizados,Elnagh T-Loft 581,2018,"3.500,0 kg",Diesel,50-75000 km,"60,0","1 500,00","Dinheiro, Transferência",não fumadora,2019
Campervan,Setúbal,"5,0",7,70,3,3,B,não autorizadas,autorizados,"Mercedes Sprinter 2,3 l CDI 150 ch.",1995,"2.800,0 kg",Diesel,Desconhecido,"80,0","400,00",Dinheiro,não fumadora,2022
Autocaravana Integral,Lisboa,"5,0",4,100,4,4,B,sob pedido,autorizados,"Pilote Ducato 2,8 l 115 ch/Al-Ko",2000,"3.500,0 kg",Diesel,"100-150,000 km","65,0","800,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Lisboa,"4,0",1,60,4,6,B,sob pedido,autorizados,Hymer 644,1986,"3.100,0 kg",Diesel,"200-250,000 km","65,0","800,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2021
Autocaravana capucino,Fernão Ferro,"5,0",1,65,6,6,B,autorizada,autorizados,Challenger Challenger,2003,"3.500,0 kg",Diesel,Desconhecido,"200,0","1 000,00",Dinheiro,fumadora,2023
Autocaravana Perfilada,Lobateira,"5,0",1,45,6,4,B,autorizada,autorizados,Moncayo Moncayo 2,2005,"3.500,0 kg",Diesel,75-100000 km,"100,0","1 000,00","Transferência, Dinheiro",fumadora,2023
Autocaravana Integral,Lisboa,"4,5",3,130,4,4,B,sob pedido,autorizados,Bürstner Aviano i670,2008,"3.500,0 kg",Diesel,Desconhecido,"80,0","1 500,00","Dinheiro, Transferência",não fumadora,2019
Autocaravana Perfilada,Lisboa,"5,0",6,110,4,4,B,não autorizadas,autorizados,Bürstner It 700,2015,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 500,00",Transferência,não fumadora,2019
Autocaravana capucino,Monte Real,"5,0",2,108,5,6,B,autorizada,sob pedido,Challenger Genesis  47 M07,2007,"3.500,0 kg",Diesel,50-75000 km,"80,0","750,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"5,0",2,75,3,2,B,não autorizadas,autorizados,Mercedes,1990,"2.800,0 kg",Diesel,Desconhecido,"40,0","750,00",Dinheiro,sob pedido,2022
Autocaravana capucino,Monte Real,"5,0",2,108,6,6,B,sob pedido,sob pedido,Rimor Katamarano,2007,"3.500,0 kg",Diesel,30-50000 km,"80,0","750,00","Dinheiro, Transferência, Outros",sob pedido,2022
Campervan,Corroios,"4,5",7,60,2,4,B,autorizada,autorizados,Mercedes Vito Mercedes,2000,"2.700,0 kg",Diesel,"200-250,000 km","60,0","800,00","Dinheiro, Outros, Transferência",fumadora,2022
Autocaravana capucino,Lisboa,"5,0",1,75,4,4,B,não autorizadas,autorizados,Rimor,2004,"3.500,0 kg",Diesel,75-100000 km,"80,0","1 250,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Sacavém,"5,0",5,85,4,5,B,sob pedido,não autorizados,Bürstner I 675 G,2007,"3.500,0 kg",Diesel,"100-150,000 km","90,0","1 000,00","Dinheiro, Transferência",não fumadora,2021
Autocaravana capucino,São João da Talha,"5,0",2,75,6,6,B,sob pedido,sob pedido,Enalgh Baron,2008,"3.500,0 kg",Diesel,50-75000 km,"90,0","850,00","Dinheiro, Transferência, Outros",sob pedido,2020
Furgão transformado,Sacavém,"4,5",8,70,2,2,B,não autorizadas,autorizados,Ford Transit,1978,"2.575,0 kg",Diesel,Desconhecido,"60,0","500,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Quinta do Conde,"5,0",4,50,6,6,B,não autorizadas,sob pedido,"Elnagh Ducato 2,8 l 115 ch/Al-Ko",2004,"3.500,0 kg",Diesel,75-100000 km,"100,0","1 300,00","Dinheiro, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",1,89,2,2,B,sob pedido,autorizados,Volkswagen Volkswagen T3,1989,"2.195,0 kg",Gasolina,150-200000 km,"60,0","600,00",Transferência,não fumadora,2021
Campervan,Lisboa,"4,5",11,90,4,4,B,não autorizadas,não autorizados,Fiat Ducato,1994,"3.500,0 kg",Diesel,Mais 250.000 km,"80,0","700,00","Cheque, Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Amora,"5,0",2,85,4,6,B,autorizada,autorizados,Pilote Pilote A-650,2006,"3.400,0 kg",Diesel,75-100000 km,"70,0","1 000,00","Transferência, Dinheiro",não fumadora,2022
Campervan,Lisboa,"4,5",8,90,5,4,B,sob pedido,sob pedido,Westfalia California Coach,1992,"2.775,0 kg",Diesel,Mais 250.000 km,"80,0","700,00","Cheque, Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Monte Real,"4,5",2,98,5,6,B,sob pedido,sob pedido,Caravansinternational XXL  Prestige BNMAC,2003,"3.200,0 kg",Diesel,"100-150,000 km","80,0","650,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Sesimbra,"5,0",4,85,4,4,B,sob pedido,autorizados,"Autostar Ducato 2,8 JTD l 128 ch/Al-Ko",2004,"3.500,0 kg",Diesel,150-200000 km,"100,0","1 000,00","Transferência, Dinheiro, Outros",não fumadora,2021
Campervan,Lisboa,"4,5",6,55,3,3,B,sob pedido,sob pedido,Renault Trafic,1994,"3.000,0 kg",Diesel,150-200000 km,"80,0","700,00","Cheque, Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Calvaria de Cima,"5,0",2,90,4,6,B,sob pedido,autorizados,"Sunlight Transit 2,4 l TDCi 140 ch.",2009,"3.500,0 kg",Diesel,Desconhecido,"72,0","800,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Odivelas,"5,0",4,70,6,6,B,sob pedido,autorizados,"Challenger Ducato 2,8 l 115 ch/Al-Ko",2001,"3.400,0 kg",Diesel,150-200000 km,"80,0","1 000,00","Dinheiro, Transferência",não fumadora,2020
Campervan,Lisboa,"4,5",3,120,2,4,B,sob pedido,autorizados,Volkswagen Westfalia,1973,"2.500,0 kg",Gasolina,50-75000 km,"70,0","800,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"4,5",5,80,4,2,B,sob pedido,sob pedido,Multivan,2002,"2.590,0 kg",Diesel,Mais 250.000 km,"80,0","700,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Benedita,"5,0",2,70,6,6,B,sob pedido,autorizados,Bürstner A535,1998,"3.200,0 kg",Diesel,Desconhecido,"70,0","600,00",Dinheiro,não fumadora,2020
Autocaravana capucino,Setúbal,"5,0",1,69,4,4,B,autorizada,sob pedido,"Eura Mobil Jumper 2,0 l 110 ch",2002,"3.300,0 kg",Diesel,"100-150,000 km","60,0","1 000,00",Dinheiro,fumadora,2022
Autocaravana Perfilada,Leiria,"5,0",1,80,6,6,B,sob pedido,autorizados,Génésis 36 Ducato,2010,"3.500,0 kg",Diesel,150-200000 km,"80,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana Perfilada,São Domingos de Rana,"5,0",14,90,4,4,B,sob pedido,não autorizados,Rimor 87 P,2007,"3.500,0 kg",Diesel,50-75000 km,"90,0","1 000,00","Dinheiro, Transferência, Outros",não fumadora,2019
Autocaravana capucino,Lisboa,"5,0",11,90,4,4,B,sob pedido,não autorizados,Karmann Mobil LT31 Karmann,1991,"3.200,0 kg",Diesel,150-200000 km,"100,0","1 000,00",Dinheiro,não fumadora,2019
Furgão transformado,Igreja Nova,"5,0",4,60,3,2,B,não autorizadas,não autorizados,Adaptada Trade,1992,"3.500,0 kg",Diesel,Mais 250.000 km,"60,0","800,00",Dinheiro,fumadora,2022
Autocaravana capucino,Setúbal,"5,0",5,60,6,6,B,sob pedido,autorizados,Fiat Rimor,1999,"3.200,0 kg",Nenhum aditivo,De 10 a 12 l / 100 km,"80,0","800,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Leiria,"5,0",1,70,5,7,B,sob pedido,não autorizados,Autostar,2000,"3.500,0 kg",Diesel,"200-250,000 km","200,0","1 000,00",Dinheiro,não fumadora,2022
Campervan,Estoril,"4,5",3,51,2,4,B,sob pedido,autorizados,NA NA,1989,"2.850,0 kg",Diesel,150-200000 km,"58,0","1 000,00","Dinheiro, Transferência",não fumadora,2021
Autocaravana capucino,Setúbal,"4,0",1,50,4,6,B,sob pedido,autorizados,Ford,1998,"2.720,0 kg",Diesel,150-200000 km,"70,0","500,00",Dinheiro,não fumadora,2022
Furgão transformado,Lisboa,"5,0",2,113,5,5,B,sob pedido,autorizados,Fiat Ducato 2.3 Van TI,2020,"3.500,0 kg",Diesel,15-30000 km,"100,0","800,00","Cartão De Crédito, Transferência",não fumadora,2022
Campervan,Lisboa,"5,0",3,106,4,4,B,sob pedido,autorizados,Fiat Fiat Weinsberg,2018,"3.300,0 kg",Diesel,30-50000 km,"120,0","800,00","Cartão De Crédito, Transferência, Outros",não fumadora,2022
Furgão transformado,Bebedouro,"5,0",8,55,3,3,B,sob pedido,autorizados,Opel Vivaro,2013,"2.790,0 kg",Diesel,Desconhecido,"55,0","400,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Coimbra,"5,0",11,55,3,2,B,sob pedido,autorizados,Renault Master,2006,"2.800,0 kg",Diesel,"200-250,000 km","70,0","500,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Caneças,"5,0",1,80,4,6,B,sob pedido,autorizados,Dethleffs FIAT DUCATO,1994,"3.500,0 kg",Diesel,150-200000 km,"80,0","600,00","Dinheiro, Transferência, Outros",sob pedido,2020
Autocaravana capucino,Colares,"5,0",1,60,2,4,B,sob pedido,não autorizados,"Fiat Ducato 1,9TD",2000,"2.200,0 kg",Diesel,De 6 a 8 l / 100 km,"70,0","1 000,00","Dinheiro, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",3,70,7,7,B,não autorizadas,não autorizados,Rimor superbrig 728 sprinter 312,1997,"3.500,0 kg",Diesel,Desconhecido,"80,0","500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Cascais,"5,0",4,100,6,6,B,autorizada,autorizados,Chausson C646,2016,"3.500,0 kg",Diesel,30-50000 km,"80,0","1 500,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,Carregado,"5,0",3,70,6,5,B,sob pedido,autorizados,Rimor,1999,"3.300,0 kg",Diesel,De 10 a 12 l / 100 km,"70,0","700,00","Dinheiro, Transferência",sob pedido,2022
Campervan,Lisboa,"5,0",19,110,4,4,B,sob pedido,não autorizados,Mercedes Marco Polo,2017,"3.100,0 kg",Diesel,0-15000 km,"70,0","1 250,00",Transferência,não fumadora,2022
Autocaravana capucino,Sapataria,"5,0",1,85,4,5,B,não autorizadas,não autorizados,Dethleffs Dethleffs,1994,"3.100,0 kg",Diesel,150-200000 km,"120,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Póvoa de Santa Iria,"5,0",3,40,2,2,B,não autorizadas,autorizados,Vanbox Kangoo Maxi,2019,"2.200,0 kg",Diesel,0-15000 km,"55,0","2 000,00","Cartão De Crédito, Transferência",não fumadora,2019
Campervan,Sapataria,"5,0",1,70,3,2,B,não autorizadas,não autorizados,Ford Transit,1993,"2.820,0 kg",Diesel,75-100000 km,"120,0","500,00","Dinheiro, Transferência, Outros",não fumadora,2022
Campervan,Póvoa de Santa Iria,"5,0",5,40,2,2,B,não autorizadas,autorizados,Vanbox kangoo Maxi,2019,"2.200,0 kg",Diesel,0-15000 km,"55,0","2 000,00","Cartão De Crédito, Transferência",não fumadora,2019
Campervan,Póvoa de Santa Iria,"5,0",4,40,2,2,B,não autorizadas,autorizados,Vanbox Kangoo Maxi,2019,"2.200,0 kg",Diesel,0-15000 km,"55,0","2 000,00","Cartão De Crédito, Transferência",não fumadora,2019
Autocaravana capucino,Fátima,"5,0",3,50,4,4,B,não autorizadas,autorizados,Karmann Mobil,1994,"2.890,0 kg",Diesel,"100-150,000 km","80,0","500,00","Transferência, Outros, Dinheiro",não fumadora,2022
Autocaravana capucino,Lisboa,"4,5",3,70,7,7,B,não autorizadas,sob pedido,Rimor 748 superbrig,1999,"3.500,0 kg",Diesel,Desconhecido,"80,0","500,00","Dinheiro, Transferência, Outros",sob pedido,2022
Campervan,Loures,"4,5",8,85,4,3,B,autorizada,autorizados,Volkswagen T4,2001,"2.680,0 kg",Diesel,Mais 250.000 km,"70,0","500,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2020
Campervan,Póvoa de Santa Iria,"5,0",1,40,2,2,B,não autorizadas,autorizados,Vanbox Kangoo Maxi,2019,"2.200,0 kg",Diesel,0-15000 km,"55,0","2 000,00","Cartão De Crédito, Transferência",não fumadora,2019
Autocaravana capucino,Lisboa,"4,5",9,70,6,6,B,sob pedido,autorizados,Moncayo Moncayo 1 (M-360),2003,"3.500,0 kg",Diesel,De 10 a 12 l / 100 km,"80,0","750,00","Dinheiro, Transferência, Outros",sob pedido,2020
Campervan,Póvoa de Santa Iria,"4,5",2,40,2,2,B,não autorizadas,autorizados,Vanbox kangoo Maxi,2019,"2.200,0 kg",Diesel,0-15000 km,"55,0","2 000,00","Cartão De Crédito, Transferência",não fumadora,2019
Autocaravana capucino,Sertã,"5,0",4,65,4,4,B,sob pedido,autorizados,Bürstner,2006,"3.400,0 kg",Diesel,50-75000 km,"50,0","800,00","Transferência, Outros, Dinheiro",sob pedido,2022
Campervan,Coimbra,"5,0",14,50,3,2,B,sob pedido,autorizados,T4 1.9TD,1997,"2.510,0 kg",Diesel,150-200000 km,"70,0","400,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Maxiais,"5,0",8,60,4,6,B,não autorizadas,não autorizados,C.I. Fiat Weinsberg,1995,"3.400,0 kg",Diesel,75-100000 km,"65,0","500,00","Dinheiro, Transferência",não fumadora,2021
Campervan,Lisboa,"5,0",3,60,3,2,B,sob pedido,autorizados,"transit Transit 2,4 l 115 ch",2003,"3.280,0 kg",Diesel,Mais 250.000 km,"50,0","800,00","Transferência, Dinheiro",sob pedido,2021
Furgão transformado,Sobreda da Caparica,"5,0",2,79,4,4,B,sob pedido,não autorizados,ducato Ducato,2016,"3.500,0 kg",Diesel,0-15000 km,"80,0","2 000,00","Cartão De Crédito, Transferência, Outros, Dinheiro",não fumadora,2017
Autocaravana capucino,Lisboa,"5,0",3,70,4,7,B,sob pedido,sob pedido,Rimor,2000,"3.500,0 kg",Diesel,Desconhecido,"80,0","500,00","Cheque, Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana capucino,Fonte da Cheira,"5,0",10,65,4,5,B,sob pedido,não autorizados,Hymer swing,1997,"3.400,0 kg",Diesel,150-200000 km,"70,0","1 200,00","Cheque, Dinheiro, Transferência",não fumadora,2022
Autocaravana Integral,Caneças,"4,5",12,70,4,4,B,não autorizadas,autorizados,Bürstner I647,1999,"3.500,0 kg",Diesel,"100-150,000 km","80,0","900,00","Dinheiro, Transferência, Outros",sob pedido,2019
Campervan,Brandoa,"5,0",4,49,3,2,B,sob pedido,sob pedido,"Renault Master 2,5 l dCi 120 ch.",2002,"2.800,0 kg",Diesel,"200-250,000 km","80,0","750,00","Cartão De Crédito, Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana capucino,Torres Vedras,"4,5",5,80,4,6,B,não autorizadas,sob pedido,Bürstner A625,2005,"3.500,0 kg",Diesel,150-200000 km,"65,0","600,00",Dinheiro,não fumadora,2022
Autocaravana capucino,São João da Talha,"5,0",13,60,6,6,B,sob pedido,sob pedido,Sharky Sharky,2008,"3.500,0 kg",Diesel,Desconhecido,"90,0","850,00","Dinheiro, Transferência, Outros",sob pedido,2020
Autocaravana capucino,Figueira da Foz,"4,5",2,80,4,5,B,autorizada,autorizados,Chausson Welcome 8,2004,"3.400,0 kg",Diesel,75-100000 km,"70,0","1 000,00",Dinheiro,não fumadora,2022
Campervan,São João das Lampas,"5,0",1,60,4,2,B,sob pedido,sob pedido,Mercedes Sprinter,1996,"2.800,0 kg",Diesel,150-200000 km,"80,0","600,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana capucino,Lisboa,"4,5",3,47,4,4,B,sob pedido,sob pedido,Fiat Ducato,1995,"2.750,0 kg",Diesel,75-100000 km,"70,0","750,00",Dinheiro,sob pedido,2019
Autocaravana Integral,Tomar,"5,0",4,70,4,6,B,sob pedido,sob pedido,"Niesmann+Bischoff Ducato 2,5 TD",1998,"3.500,0 kg",Diesel,"200-250,000 km","140,0","1 500,00","Outros, Dinheiro",sob pedido,2021
Autocaravana Perfilada,Fátima,"4,5",16,49,4,5,B,autorizada,autorizados,Mobilvetta Fiat Weinsberg,1995,"3.200,0 kg",Diesel,150-200000 km,"70,0","600,00",Transferência,não fumadora,2022
Autocaravana Perfilada,Vila Viçosa,"5,0",7,95,4,4,B,autorizada,autorizados,Pilote P706 C Essentiel,2018,"3.500,0 kg",Diesel,Desconhecido,"80,0","1 250,00","Cartão De Crédito, Dinheiro, Transferência",não fumadora,2021
Autocaravana capucino,Odivelas,"4,5",6,80,6,6,B,sob pedido,não autorizados,Mizar 371 Ducato 2.8 Idti,2000,"3.200,0 kg",Diesel,75-100000 km,"80,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana capucino,Benedita,"5,0",3,55,6,5,B,sob pedido,sob pedido,Bürstner Ducato 1.9,1996,"3.200,0 kg",Diesel,"200-250,000 km","70,0","600,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Bajouca,"5,0",1,150,2,3,B,sob pedido,autorizados,Frankia Hilux,1990,"2.395,0 kg",Diesel,150-200000 km,"50,0","800,00","Cartão De Crédito, Dinheiro, Transferência",sob pedido,2020
Autocaravana Integral,Alverca do Ribatejo,"5,0",1,80,4,4,B,sob pedido,autorizados,Niesmann+Bischoff Arto 7.4,2005,"3.500,0 kg",Diesel,"100-150,000 km","75,0","1 500,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana Integral,Fernão Ferro,"4,0",2,92,4,4,B,sob pedido,autorizados,Rimor Ducato 120 Multijet,2019,"3.500,0 kg",Diesel,Desconhecido,"120,0","1 614,00","Cartão De Crédito, Cheque, Transferência",não fumadora,2019
Campervan,Colares,"4,5",10,65,5,4,B,não autorizadas,autorizados,Westfalia Bay,1974,"2.250,0 kg",Gasolina,"100-150,000 km","30,0","600,00","Dinheiro, Transferência",não fumadora,2020
Furgão transformado,São João das Lampas,"5,0",2,58,2,2,B,sob pedido,não autorizados,Ford Transit Connect TDCi 90 ch.,2006,"2.340,0 kg",Diesel,Desconhecido,"60,0","500,00","Cartão De Crédito, Dinheiro, Transferência, Outros",sob pedido,2022
Furgão transformado,Fernão Ferro,"5,0",1,78,4,4,B,sob pedido,autorizados,Sunlight,2019,"3.499,0 kg",Diesel,Desconhecido,"80,0","1 614,00","Cartão De Crédito, Cheque, Transferência",não fumadora,2019
Autocaravana capucino,Lisboa,"5,0",1,45,6,5,B,sob pedido,autorizados,Dethleffs,1990,"3.100,0 kg",Diesel,150-200000 km,"70,0","300,00","Dinheiro, Transferência",sob pedido,2022
Autocaravana capucino,Amora,"5,0",5,85,4,6,B,sob pedido,autorizados,Bürstner A 670 G,2000,"3.500,0 kg",Diesel,75-100000 km,"60,0","530,00",Dinheiro,não fumadora,2019
Campervan,Coimbra,"5,0",11,85,4,3,B,sob pedido,autorizados,Knaus 600 Me,2019,"3.500,0 kg",Diesel,15-30000 km,"120,0","1 250,00","Dinheiro, Transferência",não fumadora,2020
Autocaravana capucino,"Viso, Liceia","5,0",6,60,6,6,B,autorizada,autorizados,"Fiat Ducato 2,8 l 115 ch/Al-Ko",2006,"3.500,0 kg",Diesel,75-100000 km,"70,0","1 000,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Benedita,"5,0",1,60,6,6,B,autorizada,autorizados,Knaus,1993,"3.400,0 kg",Diesel,75-100000 km,"50,0","500,00","Cartão De Crédito, Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana Perfilada,Coimbra,"5,0",4,65,5,2,B,autorizada,autorizados,Rimor 645 tc,2006,"3.500,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Cheque, Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana Integral,Caneças,"4,5",5,60,6,6,B,sob pedido,autorizados,Hymer 598,2001,"3.500,0 kg",Diesel,"100-150,000 km","75,0","500,00","Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana capucino,"Cantanhede, Portugal","5,0",3,90,6,5,B,sob pedido,autorizados,"Challenger Transit 2,4 l TDCi 140 ch.",2009,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 000,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,venda nova bolho,"5,0",3,69,6,7,B,sob pedido,autorizados,Rimor rimor,2009,"3.500,0 kg",Diesel,De 10 a 12 l / 100 km,"60,0","750,00",Dinheiro,não fumadora,2022
Campervan,Lisboa,"5,0",23,80,6,5,B,não autorizadas,sob pedido,Westfalia Sven Hedin,1981,"2.800,0 kg",Diesel,De 8 a 10 L / 100 km,"50,0","950,00","Dinheiro, Transferência, Outros",não fumadora,2022
Autocaravana capucino,Odivelas,"5,0",3,45,6,4,B,sob pedido,autorizados,Bürstner,2002,"3.200,0 kg",Diesel,75-100000 km,"100,0","800,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana Perfilada,Coimbra,"5,0",1,35,2,2,B,sob pedido,autorizados,Chausson Ducato,1999,"3.200,0 kg",Diesel,150-200000 km,"80,0","750,00","Dinheiro, Transferência",não fumadora,2022
Autocaravana capucino,venda nova bolho,"5,0",2,59,5,6,B,sob pedido,autorizados,Fiat joint,2005,"3.400,0 kg",Diesel,75-100000 km,"60,0","750,00",Dinheiro,não fumadora,2022
Furgão transformado,Barreiro,"4,5",5,49,3,3,B,sob pedido,sob pedido,Mercedes 208 DX,1989,"3.500,0 kg",Diesel,150-200000 km,"65,0","600,00",Dinheiro,sob pedido,2019
Furgão transformado,Sesimbra,"5,0",15,50,5,4,B,sob pedido,sob pedido,Fiat Ducato 2 l 115 ch,1995,"3.500,0 kg",Diesel,150-200000 km,"70,0","700,00","Dinheiro, Transferência",fumadora,2019
Furgão transformado,Lisboa,"5,0",3,59,3,2,B,não autorizadas,autorizados,Toyota HiAce,1989,"2.550,0 kg",Diesel,De 6 a 8 l / 100 km,"60,0","500,00",Dinheiro,não fumadora,2021
