name,location,rating,reviews,price (€),seats,sleep_places,driving_license,international,animals,model,year,weight (kg),fuel,km,tank (l),deposit (€),deposit_payment_method,smoking,most_reviews_year
Campervan,Amadora,"5,0",7,60,3,2,B,não autorizadas,sob pedido,Mercedes Vito 109,2007,"2.770,0 kg",Diesel,Mais 250.000 km,"760,0","750,00",Dinheiro,não fumadora,2022
Autocaravana capucino,Lisboa,"5,0",19,70,4,5,B,não autorizadas,não autorizados,C.I. Carioca 10,1999,"3.200,0 kg",Diesel,150-200000 km,"60,0","1 000,00","Dinheiro, Transferência, Outros",não fumadora,2021
Campervan,Algueirão,"5,0",25,55,3,2,B,autorizada,sob pedido,Fiat Movano,2002,"3.300,0 kg",Diesel,De 6 a 8 l / 100 km,"70,0","500,00",Dinheiro,não fumadora,2019
Autocaravana Integral,Frielas,"5,0",26,74,4,4,B,não autorizadas,autorizados,Autostar Aryal 4,2003,"3.500,0 kg",Diesel,"100-150,000 km","80,0","1 000,00","Dinheiro, Dinheiro, Transferência, Transferência",não fumadora,2022
Campervan,Palmela,"5,0",20,49,3,3,B,não autorizadas,sob pedido,Volkswagen Transporter T4,1997,"2.775,0 kg",Diesel,Desconhecido,"80,0","500,00",Dinheiro,não fumadora,2020
Autocaravana capucino,Charneca de Caparica,"4,5",8,85,4,6,B,sob pedido,sob pedido,Knaus 650 Leg,2003,"3.500,0 kg",Diesel,"100-150,000 km","70,0","1 250,00",Outros,não fumadora,2020
Autocaravana Perfilada,Lisboa,"4,5",7,50,4,4,B,sob pedido,sob pedido,Joint 154,2008,"3.500,0 kg",Diesel,30-50000 km,"70,0","1 500,00","Dinheiro, Outros",não fumadora,2022
Campervan,Lisboa,"5,0",8,65,2,2,B,sob pedido,autorizados,VL Vanette,1990,"1.500,0 kg",Diesel,30-50000 km,"50,0","700,00","Dinheiro, Transferência, Outros",sob pedido,2022
Autocaravana capucino,Amadora,"5,0",5,90,6,6,B,sob pedido,autorizados,Sunlight A 70,2019,"3.500,0 kg",Diesel,50-75000 km,"80,0","1 500,00","Dinheiro, Transferência",não fumadora,2019
Autocaravana capucino,brejos de azeitão,"5,0",6,90,3,6,B,sob pedido,autorizados,Frankia Sprinter 2.8 TDI,2000,"3.050,0 kg",Diesel,"100-150,000 km","76,0","850,00","Transferência, Dinheiro",não fumadora,2021
Campervan,Lisboa,"5,0",10,75,2,2,B,sob pedido,autorizados,AU Vanette,1992,"2.510,0 kg",Diesel,50-75000 km,"50,0","700,00","Dinheiro, Transferência, Outros",sob pedido,2022
